Product_ID,Catagories,Product_Type,Product_Description,headings,Industries_WeldingProcess,Elements,Values
"SPOOLARC,75,Tigrod",TIG Rods (GTAW),Low Alloy Wires,"Spoolarc 75 Tigrod is a copper-coated 1% nickel solid rod for carbon steel and low alloy welding applications using either the MIG/Gas Metal Arc Welding (GMAW). Spoolarc 75 produces a deposit that meets the weathering requirements of AWS D1.1 and D1.5 and is designed to weld weathering steels and/or where improved low temperature impact toughness is specified. Shielding gas choices for Spoolarc 75 are Ar/CO, mixtures containing a minimum of 75% Ar or the 98% Ar/2% O2. Spoolarc 75 is used for bridge and structural welding.","Industries,Welding Process","Mobile Equipment,Ship/Barge Building,Industrial and General Fabrication,Bridge Construction,SAW - Submerged Arc Welding,GMAW (MIG/MAG - Metal Inert Gas / Metal Active Gas)","Typical Weld Metal Analysis %,P,Mn,Mo,Cu,S,C,Si,Ni,Cr,Classifications: ","0.01 %,0.94 %,0.01 %,0.08 %,0.002 %,0.08 %,0.49 %,0.98 %,0.04 %,ASME SFA 5.28; ASME SFA 5.23; AWS A5.28; ER80S-Ni1; AWS A5.23; ENi1K"
"SPOOLARC,65,Tigrod",TIG Rods (GTAW),Mild Steel Wires,"Spoolarc 65 is a triple deoxidized (Aluminum, Titanium, Zirconium) welding wire designed for welding over rust and mill scale. The less fluid weld puddle of Spoolarc 65 makes it easy to control when used out of position. Spoolarc 65 is the preferred wire for all position welding of small diameter pipe.","Industries,Welding Process","Military Applications,Power Generation,Pipeline,Ship/Barge Building,Welding-GTAW (TIG - Tungsten Inert Gas )","Typical Weld Metal Analysis %,Mn,Mo,C,Al,Cr,P,Cu,S,Ti,V,Si,Zr,Ni,Approvals: ,Classifications: ","1.14 %,0.01 %,0.06 %,0.08 %,0.06 %,0.004 %,0.06 %,0.006 %,0.10 %,0.01 %,0.50 %,0.04 %,0.03 %,MIL-E-23765/1; 70S-2,AWS A5.18; ER70S-2 H4"
"SPOOLARC,120,Tigrod",TIG Rods (GTAW),Low Alloy Wires,"Spoolarc 120 Tigrod is designed for welding high strength quenched and tempered steels. Weld metal mechanical properties produce high tensile strengths, in excess of 120 ksi (825 MPa). Applications for Spoolarc 120 Tigrod include military tanks, ships, submarines and other similar fabrication.",,,"Typical Weld Metal Analysis %,P,Mn,Mo,C,S,Si,Ni,Cr,P,Mn,Mo,C,S,Si,Ni,Cr","0.007 %,1.3 %,0.45 %,0.07 %,0.008 %,0.35 %,2.6 %,0.4 %"
"OK,Tigrod,NiCrMo-4",TIG Rods (GTAW),Nickel Based Alloys,"OK Tigrod NiCrMo-4 is a corrosion and heat resistant, nickel-chromium rod for TIG welding of high alloyed steel, heat resistant steel, corrosion resistant steel, 9Ni steels and similar steels with high notch toughness at low temperatures. Good resistance to stress corrosion.",,,"Typical Weld Metal Analysis %,Mn,Mo,C,Si,W,Ni,Cr,Fe,Classifications: ","0.45 %,16.1 %,0.01 %,0.05 %,3.5 %,Bal. %,15.5 %,5.8 %,SFA/AWS A5.14; ERNiCrMo-4; Wire Electrode; EN ISO 18274; S Ni 6276 (NiCr15Mo16Fe6W4); Wire Electrode"
"OK,Tigrod,NiCu-7",TIG Rods (GTAW),Nickel Based Alloys,"Bare nickel based welding rods alloyed with 30% Cu for welding of base materials of the same type. Can also be used to join these alloys to steel. The weld metal has good resistance to flowing seawater and has high strength and toughness over a rather wide temperature range. Has also good resistance to hydrofluoric acid, sulfuric acid, alkalis etc. Can be used for welding of similar types of base materials which are age-hardenable with small additions of Ti and Al.",,,"Typical Weld Metal Analysis %,Mn,Cu,C,Ti,Si,Ni,Al,Nb+Ta,Fe,Approvals: ,Classifications: ,Alloy Type: ","3 %,28 %,0.03 %,2 %,0.3 %,64 %,0.03 %,< 0.5 %,2 %,VdTÜV; 12661 (MV); VdTÜV; 12669 (FP),SFA/AWS A5.14; ERNiCu-7; Wire Electrode; EN ISO 18274; S Ni 4060 (NiCu30Mn3Ti); Wire Electrode,Alloyed nickel (Ni + 30 % Cu + 2 % Ti + 2 % Fe)"
"OK,Tigrod,NiCrMo-3",TIG Rods (GTAW),Nickel Based Alloys,"Bare corrosion and heat-resisting Ni-Cr-Mo rods for welding of high alloyed heat-resisting and corrosion resisting materials, 9%Ni-steels and similar steels with high notch toughness at low temperatures. Also for joining of dissimilar metals of the types mentioned. The weld metal has very good mechanical properties at high and low temperatures. Good resistance to pitting and stress corrosion.",,,"Typical Tensile Properties,Elongation,Tensile Strength,Yield Strength,Typical Charpy V-Notch Properties,Impact Value,Testing Temperature,Typical Weld Metal Analysis %,Mn,Mo,C,Si,Ni,Nb+Ta,Cr,Fe,Approvals: ,Classifications: ,Alloy Type: ","
,
,40 %,113 ksi,80 ksi,
,
,74 ft-lb,-321 °F,0.04 %,8.6 %,0.02 %,0.06 %,64.8 %,3.5 %,22.7 %,0.3 %,DNV; For NV1.5Ni up to NV9Ni; VdTÜV; 12460,SFA/AWS A5.14; ERNiCrMo-3; Wire Electrode; EN ISO 18274; S Ni 6625; Wire Electrode,Alloyed nickel (Ni + 22 % Cr + 9 % Mo - 3.5 % Nb)"
"OK,Tigrod,NiCrMo-13",TIG Rods (GTAW),Nickel Based Alloys,"Bare Ni-Cr-Mo rods for welding of high alloyed Ni-base materials, 9% Ni steel and super austenic steels of type
20Cr-25Ni with 4-6% Mo. Can also be used for welding carbon steel to Ni base steel. The weld metal has a very good toughness and is corrosion resistant over a wide range of applications in oxidizing and reducing media.",,,"Typical Tensile Properties,Elongation,Tensile Strength,Yield Strength,Typical Charpy V-Notch Properties,Impact Value,Testing Temperature,Typical Weld Metal Analysis %,Mn,Mo,C,Si,Ni,Al,Cr,Fe,Approvals: ,Classifications: ,Alloy Type: ","
,
,40 %,109 ksi,72.5 ksi,
,
,88.5 ft-lb,-166 °F,0.2 %,16.0 %,0.01 %,0.1 %,61.0 %,0.3 %,23.0 %,1.0 %,VdTÜV; 12663 (MV),SFA/AWS A5.14; ERNiCrMo-13; Wire Electrode; EN ISO 18274; S Ni 6059 (NiCr23Mo16); Wire Electrode,Alloyed nickel (Ni + 23 % Cr + 16 % Mo)"
"OK,Tigrod,NiCr-3",TIG Rods (GTAW),Nickel Based Alloys,"Bare corrosion and heat-resisting Ni-Cr-Mo rods for welding of high alloyed heat-resisting and corrosion resisting materials, 9%Ni-steels and similar steels with high notch toughness at low temperatures.
Also for joining of dissimilar metals of the types mentioned. The weld metal has very good mechanical properties at high and low temperatures. Good resistance to pitting and stress corrosion.",,,"Typical Tensile Properties,Elongation,Tensile Strength,Yield Strength,Typical Charpy V-Notch Properties,Impact Value,Testing Temperature,Typical Weld Metal Analysis %,Mn,Cu,C,Ti,Si,Ni,Nb+Ta,Cr,Fe,Approvals: ,Classifications: ,Alloy Type: ","
,
,40 %,94 ksi,58 ksi,
,
,111 ft-lb,68 °F,3.0 %,0.01 %,0.04 %,0.35 %,0.2 %,72.50 %,2.5 %,20.0 %,1.3 %,VdTÜV; 12657; VdTÜV; 12667,SFA/AWS A5.14; ERNiCr-3; Wire Electrode; EN ISO 18274; S Ni 6082 (NiCr20Mn3Nb); Wire Electrode,Alloyed nickel (Ni + 20 % Cr + 3 % Mn + 2.5 % Nb)"
"OK,Tigrod,Ni-1",TIG Rods (GTAW),Nickel Based Alloys,"A bare nickel based rod alloyed with about 3% Ti for welding of high purity nickel (min 99.6 %Ni), ordinary wrought nickel and nickel with reduced C content. The weld metal can be used in a wide range of applications were the construction is working with corrosive media.",,,"Typical Charpy V-Notch Properties,Testing Temperature,Typical Charpy V-Notch Properties,Testing Temperature,Typical Weld Metal Analysis %,Mn,Cu,C,Ti,Si,Ni,Al,Fe,Approvals: ,Classifications: ,Alloy Type: ","
,
,68 °F,
,
,68 °F,0.4 %,0.01 %,0.01 %,3.1 %,0.5 %,96 %,0.06 %,0.04 %,VdTÜV; 12659; VdTÜV; 12665,SFA/AWS A5.14; ERNi-1; Wire Electrode; EN ISO 18274; S Ni 2061 (NiTi3); Wire Electrode,Nickel (Ni + 2.5 % Ti)"
"OK,Tigrod,5754",TIG Rods (GTAW),Alumnium Wires,OK Tigrod 5754 is a solid aluminium rod with a content of 3% Mg. It is recommended for welding of Al-Mg alloys with less than 3% magnesium. The alloy has a relatively high strength and corrosion resistance.,,,"Typical Tensile Properties,Elongation,Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,Mn,Cu,Zn,Ti,Si,Mg,Al,Cr,Fe,Approvals: ,Classifications: ,Alloy Type: ","
,
,23 %,33 ksi,16 ksi,0.26 %,0.01 %,0.01 %,0.13 %,0.03 %,3.1 %,96.19 %,0.15 %,0.09 %,VdTÜV; 04759,SFA/AWS A5.10; R5754; Wire Electrode; EN ISO 18273; S Al 5754  (AlMg3); Wire Electrode,AlMg"
"OK,Tigrod,5556A",TIG Rods (GTAW),Alumnium Wires,"Bare welding rod suitable for welding aluminium alloys with up to approx. 5% Mg that are not age hardenable and alloys where a higher tensile strength is required.
The corrosion resistance in a marine atmosphere is very good.",,,"Typical Tensile Properties,Condition,Elongation,Tensile Strength,Yield Strength,Typical Charpy V-Notch Properties,Condition,Impact Value,Testing Temperature,Deposition Data,Diameter,Classifications: ","As Welded,25 %,43 ksi,21 ksi,As Welded,18 ft-lb,68 °F,1/16 in.,1.6 mm,5/32 in.,4 mm,3/32 in.,2.4 mm,1/8 in.,3.2 mm,SFA/AWS A5.10; R5556; EN ISO 18273; S Al 5556A (AlMg5Mn)"
"OK,Tigrod,5554",TIG Rods (GTAW),Alumnium Wires,"OK Tigrod 5554 is a solid aluminium rod with a content of 2.7% Mg. It is recommended for the welding of AlMg alloys like 5454. Typical applications include chemical storage tanks, automotive components like wheels and frame sections. The weld metal is not sensitive to stress corrosion cracking at elevated temperatures.",,,"Typical Tensile Properties,Elongation,Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,Mn,Cu,Zn,Ti,Si,Mg,Al,Cr,Fe,Approvals: ,Classifications: ,Alloy Type: ","
,
,17 %,33 ksi,16 ksi,0.7 %,0.01 %,0.01 %,0.15 %,0.1 %,2.7 %,96 %,0.1 %,0.1 %,CWB; A5.10/A5.10:2012 ER5554,SFA/AWS A5.10; R5554; Wire Electrode; EN ISO 18273; S Al 5554  (AlMg2,7Mn); Wire Electrode,AlMg 5"
"OK,Tigrod,5356",TIG Rods (GTAW),Alumnium Wires,"OK Tigrod 5356 is the most widely used welding alloy and can be classified as a general purpose type filler alloy. OK Tigrod 5356 is typically chosen because of its relatively high shear strength. The 5XXX alloy base material, welded with OK Tigrod 5356, with a weld pool chemistry greater than 3 % Mg and service temperatures in excess of 65°C are susceptible to stress corrosion cracking. The alloy is non-heat treatable.",,,"Typical Tensile Properties,Condition,Elongation,Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,Mn,Cu,Zn,Si,Mg,Al,Cr,Fe,Approvals: ,Classifications: ,Alloy Type: ","As Welded,17 %,34 ksi,16 ksi,0.13 %,0.01 %,0.01 %,0.05 %,4.9 %,94.560 %,0.12 %,0.13 %,ABS; R 5356; CE; EN 13479; CWB; A5.10/A5.10M:2012 ER5356; DB; 61.039.02; JIS; JIS Z 3232; VdTÜV; 04665,JIS Z 3232; A5356; SFA/AWS A5.10; R5356; Wire Electrode; EN ISO 18273; S Al 5356  (AlMg5Cr(A)); Wire Electrode,AlMg 5"
"OK,Tigrod,5183",TIG Rods (GTAW),Alumnium Wires,"OK Tigrod 5183 was developed to provide the highest strengths possible in the as welded condition of alloy AA 5083 and other similar high magnesium alloys. The more common OK Tigrod 5356 will typically fail to meet the as-welded tensile requirements of AA 5083. The alloy is typically utilised in marine and structural applications where high strengths, high fracture toughness for impact resistance and exposure to corrosive elements are important. The alloy is not recommended for elevated temperature applications due to its susceptibility to stress corrosion cracking. The alloy is non-heat treatable.",,,"Typical Tensile Properties,Elongation,Tensile Strength,Yield Strength,Typical Charpy V-Notch Properties,Impact Value,Testing Temperature,Typical Weld Metal Analysis %,Mn,Cu,Zn,Ti,Si,Mg,Al,Cr,Fe,Approvals: ,Classifications: ,Alloy Type: ","
,
,25 %,42 ksi,20 ksi,
,
,66 ft-lb,68 °F,0.65 %,0.01 %,0.01 %,0.100 %,0.04 %,4.9 %,94.200 %,0.08 %,0.13 %,ABS; R 5183; CE; EN 13479; CWB; A5.10/A5.10M:2012 ER5183; DB; 61.039.04; JIS; JIS Z 3232; NAKS/HAKC; 3.2MM; VdTÜV; 04667,SFA/AWS A5.10; R5183; Wire Electrode; EN ISO 18273; S Al 5183  (AlMg4,5Mn0,7(A)); Wire Electrode; JIS Z 3232; A5183; Wire Electrode,AlMgMn"
"OK,Tigrod,5087",TIG Rods (GTAW),Alumnium Wires,Bare welding rod suitable for welding aluminium alloys with up to 5% Mg and alloys where a higher tensile strength is required. The alloying element Zr produces improved resistance to hot cracking during solidification.,,,"Typical Tensile Properties,Elongation,Tensile Strength,Yield Strength,Typical Charpy V-Notch Properties,Impact Value,Testing Temperature,Typical Weld Metal Analysis %,Mn,Cu,Zn,Ti,Si,Zr,Mg,Al,Cr,Fe,Approvals: ,Classifications: ,Alloy Type: ","
,
,30 %,41 ksi,19 ksi,
,
,26 ft-lb,68 °F,0.8 %,0.01 %,0.01 %,0.08 %,0.04 %,0.11 %,4.7 %,Rem %,0.08 %,0.12 %,CE; EN 13479; DB; 61.039.08; VdTÜV; 05796,SFA/AWS A5.10; R5087; Wire Electrode; EN ISO 18273; S Al 5087 (AlMg4,5MnZr); Wire Electrode,AlMgMn"
"OK,Tigrod,4008",TIG Rods (GTAW),Alumnium Wires,"Alloy 4008 has controlled lower levels of impurities than those present in alloys 4010 and 356.0. It is a product that meets the chemistry requirements of AMS 4181.
Alloys 356.0, A356.0 and A357.0 are typically used to manufacture sand and permanent mold castings.
Alloy 4008 is excellent choice to join or repair these castings, and if needed, it can be heat treated to increased mechanical properties.",,,"Typical Tensile Properties,Condition,Elongation,Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,Mn,Cu,Zn,Ti,Si,Mg,Al,Fe,Approvals: ,Classifications: ,Alloy Type: ","As Welded,18 %,24 ksi,8 ksi,0.01 %,0.02 %,0.01 %,0.1 %,7.0 %,0.4 %,Rem %,0.06 %,CE; EN 13479; DB; 61.039.10; VdTÜV; 12188,EN ISO 18273; S Al Z (AlSi7MgTi); Wire Electrode,AlSiMg"
"OK,Tigrod,4047",TIG Rods (GTAW),Alumnium Wires,"OK Tigrod 4047 was originally developed as a brazing alloy to take advantage of its low melting point and narrow freezing range. In addition, it has higher silicon content than OK Tigrod 4043, which provides an increased fluidity and reduced shrinkage. Hot cracking is significantly reduced when using OK Autrod 4047 as a filler alloy. The alloy may be used in applications of sustained elevated temperatures. Non-heat treatable.",,,"Typical Tensile Properties,Elongation,Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,Mn,Cu,Zn,Si,Al,Fe,Approvals: ,Classifications: ,Alloy Type: ","
,
,12 %,18 ksi,8 ksi,0.01 %,0.01 %,0.01 %,11.5 %,Rem %,0.18 %,CWB; AWS A5.10,SFA/AWS A5.10; R4047; Wire Electrode; EN ISO 18273; S Al 4047  (AlSi12); Wire Electrode,IMPERIAL_Alloyed aluminium (Al + 12 % Si)"
"OK,Tigrod,410NiMo",TIG Rods (GTAW),Stainless Steel Wires,"Bare welding rods of the 420NiMo type alloyed with 13% Cr, 4.5% Ni and 0.5% Mo. This alloy is used for welding similar composition martensitic and martensitic-ferritic steels in different applications, such as hydroturbines.",,,"Typical Tensile Properties,Elongation,Stress Relieved Temperature,Stress Relieved Testing Time,Tensile Strength,Yield Strength,Typical Charpy V-Notch Properties,Impact Value,Stress Relieved Testing Temp,Stress Relieved Testing Time,Testing Temperature,Typical Weld Metal Analysis %,Mn,Mo,Cu,C,Si,Ni,Cr,Classifications: ,Alloy Type: ","
,
,17 %,1112 °F,2 hr,145 ksi,135 ksi,22 %,1112 °F,8 hr,126 ksi,112 ksi,
,
,88.5 ft-lb,1112 °F,2 hr,32 °F,88.5 ft-lb,1112 °F,2 hr,-76 °F,129 ft-lb,1112 °F,8 hr,32 °F,122 ft-lb,1112 °F,8 hr,-76 °F,0.5 %,0.6 %,0.1 %,0.02 %,0.4 %,4.2 %,12.4 %,EN ISO 14343-A; W 13 4; Wire Electrode,Martensitic-ferritic (13 % Cr - 4.5 % Ni - 0.5 % Mo)"
"OK,Tigrod,4043",TIG Rods (GTAW),Alumnium Wires,OK Tigrod 4043 is one of the most widely used welding alloys. The alloy is used for welding AlMgSi - types and AlSi - alloys with up to 7% Silicon. Not recommended for anodizing. Non-heat treatable.,,,"Typical Tensile Properties,Elongation,Tensile Strength,Yield Strength,Typical Weld Metal Analysis %,Mn,Cu,Zn,Ti,Si,Al,Fe,Approvals: ,Classifications: ,Alloy Type: ","
,
,18 %,18 ksi,8 ksi,0.01 %,0.02 %,0.01 %,0.01 %,5.00 %,Rem %,0.14 %,CE; EN 13479; DB; 61.039.06; JIS; JIS Z 3232; For lot numbers starting with RB; CWB; AWS A5.10/A5.10M:2012 (ER4043); For lot numbers starting with RB,SFA/AWS A5.10; R4043; Wire Electrode; EN ISO 18273; S Al 4043  (AlSi5); Wire Electrode; JIS Z 3232; A4043; Wire Electrode,AlSi"
"OK,Tigrod,430LNbTi",TIG Rods (GTAW),Stainless Steel Wires,"A ferritic stainless solid wire with low carbon content and excellent welding properties, 18 % Cr and stabilized with Nb and Ti, for welding similar and matching steels. OK Tigrod 430LNbTi is developed and designed for the automotive industry and used for production of exhaust systems. The wire should be used when there is a need for very good resistance to corrosion and thermal fatigue.",,,"Typical Weld Metal Analysis %,Mn,Mo,Cu,C,Ti,Si,Ni,Cr,Classifications: ,Alloy Type: ","0.5 %,0.06 %,0.10 %,0.01 %,0.20 %,0.5 %,0.2 %,18.5 %,EN ISO 14343-A; W Z 18 L Nb Ti; Wire Electrode; Werkstoffnummer; 1.4509 mod; Wire Electrode,18 % Cr - Nb stabilized"
